dataset,result_family,protocol,method,task,n_train_subjects,n_test_subjects,n_train_slices,n_test_slices,accuracy,macro_auc,macro_f1,macro_f1_std,source_file,fairness_note
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,FA_GT,cn_vs_ad,,48,,,0.7791666666666667,0.7879069767441861,0.6056147092522677,0.012908919021008833,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
ADNI,latest_test_split_subject_CV,5fold_repeated_subject_cv,FA_GT,mci_spectrum_vs_ad,,35,,,0.7657142857142857,0.716,0.6213421666053245,0.04726649674461144,outputs\icdm2026\downstream_adni_final_a080_ds_full_complete\classification_repeated_summary.csv,Subject-level CV inside ADNI test split; used only to include baselines without train-full prediction folders.
Private,existing_train_test_MIL,attention_mil,FidelityFlow,cn_vs_ad,81,21,4050,1050,0.8571428571428571,0.8382352941176471,0.7878787878787878,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
Private,existing_train_test_MIL,attention_mil,T1_PLUS_Ours,cn_vs_ad,81,21,4050,1050,0.8571428571428571,0.8235294117647058,0.7878787878787878,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
Private,existing_train_test_MIL,attention_mil,T1_PLUS_Stage1,cn_vs_ad,81,21,4050,1050,0.8571428571428571,0.7794117647058824,0.7878787878787878,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
Private,existing_train_test_MIL,attention_mil,FA_GT,cn_vs_ad,81,21,4050,1050,0.8571428571428571,0.7647058823529411,0.7428571428571429,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
Private,existing_train_test_MIL,attention_mil,T1_PLUS_GT,cn_vs_ad,81,21,4050,1050,0.8571428571428571,0.6911764705882353,0.6594594594594595,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
Private,existing_train_test_MIL,attention_mil,UNet,cn_vs_ad,81,21,4050,1050,0.8095238095238095,0.9117647058823529,0.7666666666666666,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
Private,existing_train_test_MIL,attention_mil,Stage1,cn_vs_ad,81,21,4050,1050,0.7142857142857143,0.9411764705882353,0.6785714285714286,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
Private,existing_train_test_MIL,attention_mil,Pix2Pix,cn_vs_ad,81,21,4050,1050,0.6666666666666666,0.8970588235294117,0.6100795755968169,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
Private,existing_train_test_MIL,attention_mil,CycleGAN,cn_vs_ad,81,21,4050,1050,0.6666666666666666,0.75,0.6100795755968169,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
Private,existing_train_test_MIL,attention_mil,T1_PLUS_UNet,cn_vs_ad,81,21,4050,1050,0.47619047619047616,0.8235294117647058,0.4564705882352942,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
Private,existing_train_test_MIL,attention_mil,T1_PLUS_CycleGAN,cn_vs_ad,81,21,4050,1050,0.47619047619047616,0.8088235294117647,0.4564705882352942,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
Private,existing_train_test_MIL,attention_mil,T1_PLUS_Pix2Pix,cn_vs_ad,81,21,4050,1050,0.42857142857142855,0.8088235294117647,0.41666666666666663,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
Private,existing_train_test_MIL,attention_mil,T1_ONLY,cn_vs_ad,81,21,4050,1050,0.3333333333333333,0.7794117647058824,0.3318181818181818,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
Private,existing_train_test_MIL,multi_task_mil,T1_PLUS_UNet,cn_vs_ad,130,21,6500,1600,0.9523809523809523,0.8235294117647058,0.9142857142857143,,outputs\icdm2026\downstream_private_slice_mil_finalpdf_train_test_seed2026\classification_subject_summary.csv,Existing private train/test MIL result; no new training performed.
