method,task,classifier,max_features,n_features,n_selected_features,n_train_subjects,n_test_subjects,accuracy,balanced_accuracy,macro_auc,macro_f1
T1_PLUS_OLD_FLOW,cn_vs_mci_spectrum,logistic,40,384,40,255,73,0.6027397260273972,0.6073643410852714,0.6573643410852713,0.6000377857547705
T1_PLUS_OLD_FLOW,cn_vs_mci_spectrum,linear_svm,0,384,384,255,73,0.4794520547945205,0.4875968992248062,0.4968992248062016,0.47857142857142854
T1_PLUS_OLD_FLOW,cn_vs_mci_spectrum,linear_svm,20,384,20,255,73,0.5342465753424658,0.5290697674418605,0.5883720930232559,0.5270579268292683
T1_PLUS_OLD_FLOW,cn_vs_mci_spectrum,linear_svm,40,384,40,255,73,0.547945205479452,0.5558139534883721,0.6232558139534884,0.5465838509316769
T1_PLUS_OLD_FLOW,cn_vs_ad,logistic,0,384,384,167,48,0.875,0.7534883720930232,0.8604651162790697,0.7142857142857143
T1_PLUS_OLD_FLOW,cn_vs_ad,logistic,20,384,20,167,48,0.7916666666666666,0.7069767441860465,0.7023255813953488,0.625
T1_PLUS_OLD_FLOW,cn_vs_ad,logistic,40,384,40,167,48,0.8333333333333334,0.7302325581395348,0.7209302325581395,0.6655052264808362
T1_PLUS_OLD_FLOW,cn_vs_ad,linear_svm,0,384,384,167,48,0.8125,0.6302325581395349,0.8232558139534885,0.5996292863762743
T1_PLUS_OLD_FLOW,cn_vs_ad,linear_svm,20,384,20,167,48,0.8333333333333334,0.7302325581395348,0.7023255813953488,0.6655052264808362
T1_PLUS_OLD_FLOW,cn_vs_ad,linear_svm,40,384,40,167,48,0.8333333333333334,0.7302325581395348,0.7302325581395349,0.6655052264808362
T1_PLUS_OLD_FLOW,mci_spectrum_vs_ad,logistic,0,384,384,122,35,0.8571428571428571,0.6666666666666667,0.5,0.6812386156648451
T1_PLUS_OLD_FLOW,mci_spectrum_vs_ad,logistic,20,384,20,122,35,0.7142857142857143,0.5833333333333334,0.6666666666666666,0.5535714285714286
T1_PLUS_OLD_FLOW,mci_spectrum_vs_ad,logistic,40,384,40,122,35,0.7142857142857143,0.5,0.6466666666666666,0.49712643678160917
T1_PLUS_OLD_FLOW,mci_spectrum_vs_ad,linear_svm,0,384,384,122,35,0.8571428571428571,0.6666666666666667,0.5733333333333334,0.6812386156648451
T1_PLUS_OLD_FLOW,mci_spectrum_vs_ad,linear_svm,20,384,20,122,35,0.6857142857142857,0.5666666666666667,0.7,0.5333333333333333
T1_PLUS_OLD_FLOW,mci_spectrum_vs_ad,linear_svm,40,384,40,122,35,0.7142857142857143,0.5833333333333334,0.6466666666666666,0.5535714285714286
