method,task,protocol,classifier,feature_set,n_train_subjects,n_test_subjects,n_train_slices,n_test_slices,n_features,n_selected_features,accuracy,balanced_accuracy,macro_f1,macro_auc_ovr,epochs,seed
Stage1_LPIPS_GAN,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,152,34,7600,1700,159,159,0.5294117647058824,0.5294117647058824,0.5018315018315018,0.57439446366782,,
T1_ONLY,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,152,34,7600,1700,159,159,0.5,0.5,0.4995670995670995,0.5224913494809689,,
UNet,cn_vs_mci_spectrum,slice_svm_vote,linear_svm,roi_mean,152,34,7600,1700,159,159,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5605536332179931,,
CycleGAN,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,113,21,5650,1050,159,159,0.5238095238095238,0.6102941176470589,0.4951923076923077,0.6911764705882353,80.0,2026.0
FA_GT,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,113,21,5650,1050,159,159,0.8095238095238095,0.6911764705882353,0.6911764705882353,0.6764705882352942,80.0,2026.0
FidelityFlow,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,113,21,5650,1050,159,159,0.6666666666666666,0.6029411764705883,0.5689149560117301,0.7647058823529411,80.0,2026.0
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,113,21,5650,1050,159,159,0.7142857142857143,0.6323529411764706,0.60625,0.7205882352941176,80.0,2026.0
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,113,21,5650,1050,159,159,0.6666666666666666,0.6985294117647058,0.6100795755968169,0.75,80.0,2026.0
Pix2Pix,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,113,21,5650,1050,159,159,0.7619047619047619,0.6617647058823529,0.6464646464646464,0.7352941176470588,80.0,2026.0
Stage1_LPIPS_GAN,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,113,21,5650,1050,159,159,0.6666666666666666,0.6029411764705883,0.5689149560117301,0.75,80.0,2026.0
T1_ONLY,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,113,21,5650,1050,159,159,0.6666666666666666,0.6985294117647058,0.6100795755968169,0.7941176470588235,80.0,2026.0
UNet,mci_spectrum_vs_ad,attention_mil,attention_mil,roi_mean,113,21,5650,1050,159,159,0.7619047619047619,0.6617647058823529,0.6464646464646464,0.7794117647058824,80.0,2026.0
CycleGAN,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.6666666666666666,0.6029411764705883,0.5689149560117301,0.676470588235294,80.0,2026.0
FA_GT,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.5238095238095238,0.5147058823529411,0.4642857142857143,0.6176470588235294,80.0,2026.0
FidelityFlow,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.7619047619047619,0.7573529411764706,0.6920821114369502,0.7794117647058824,80.0,2026.0
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.6666666666666666,0.6029411764705883,0.5689149560117301,0.6911764705882353,80.0,2026.0
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.7142857142857143,0.6323529411764706,0.60625,0.7058823529411764,80.0,2026.0
Pix2Pix,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.6666666666666666,0.6029411764705883,0.5689149560117301,0.7647058823529411,80.0,2026.0
Stage1_LPIPS_GAN,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.6666666666666666,0.6985294117647058,0.6100795755968169,0.75,80.0,2026.0
T1_ONLY,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.7619047619047619,0.7573529411764706,0.6920821114369502,0.7647058823529411,80.0,2026.0
UNet,mci_spectrum_vs_ad,multi_task_mil,multi_task_mil,roi_mean,173,21,8650,1900,159,159,0.7619047619047619,0.6617647058823529,0.6464646464646464,0.7352941176470589,80.0,2026.0
CycleGAN,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,113,21,5650,1050,159,159,0.6666666666666666,0.6029411764705883,0.5689149560117301,0.7205882352941176,,
FA_GT,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,113,21,5650,1050,159,159,0.6190476190476191,0.5735294117647058,0.5333333333333333,0.6176470588235294,,
FidelityFlow,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,113,21,5650,1050,159,159,0.6666666666666666,0.6029411764705883,0.5689149560117301,0.7205882352941176,,
PRIVATE_DS_HYBRID_FROM_STAGE1_E030_FULL,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,113,21,5650,1050,159,159,0.7142857142857143,0.6323529411764706,0.60625,0.6764705882352942,,
PRIVATE_STAGE1_SINGLE_SHARP_STRIPE_EPOCH030,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,113,21,5650,1050,159,159,0.6666666666666666,0.6029411764705883,0.5689149560117301,0.7205882352941176,,
Pix2Pix,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,113,21,5650,1050,159,159,0.6666666666666666,0.6029411764705883,0.5689149560117301,0.7205882352941176,,
Stage1_LPIPS_GAN,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,113,21,5650,1050,159,159,0.7142857142857143,0.7279411764705883,0.65,0.7205882352941176,,
T1_ONLY,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,113,21,5650,1050,159,159,0.7619047619047619,0.7573529411764706,0.6920821114369502,0.7205882352941176,,
UNet,mci_spectrum_vs_ad,slice_svm_vote,linear_svm,roi_mean,113,21,5650,1050,159,159,0.7142857142857143,0.7279411764705883,0.65,0.7499999999999999,,
