method,task,classifier,feature,coefficient,abs_coefficient
A080 Base,mci_spectrum_vs_ad,logistic,roi_r1_c2_brain_median_slice_std,-0.7624614020111441,0.7624614020111441
A080 Base,mci_spectrum_vs_ad,logistic,roi_r0_c1_brain_mean_slice_std,0.7541576033820216,0.7541576033820216
A080 Base,mci_spectrum_vs_ad,logistic,roi_r1_c2_wm_median_slice_std,-0.7224166616574218,0.7224166616574218
A080 Base,mci_spectrum_vs_ad,logistic,roi_r1_c2_wm_grad_mean_slice_std,-0.6927292803948091,0.6927292803948091
A080 Base,mci_spectrum_vs_ad,logistic,roi_r1_c0_brain_p10_slice_mean,0.6889162292091094,0.6889162292091094
A080 Base,mci_spectrum_vs_ad,logistic,roi_r1_c1_wm_count_slice_std,0.6461347924134883,0.6461347924134883
A080 Base,mci_spectrum_vs_ad,logistic,roi_r0_c0_wm_std_slice_mean,-0.6456483881539882,0.6456483881539882
A080 Base,mci_spectrum_vs_ad,logistic,roi_r0_c0_wm_mean_slice_std,0.6292206940021567,0.6292206940021567
A080 Base,mci_spectrum_vs_ad,logistic,roi_r0_c1_wm_grad_mean_slice_mean,0.6262697595690865,0.6262697595690865
A080 Base,mci_spectrum_vs_ad,logistic,roi_r1_c0_brain_std_slice_std,0.6180386091485351,0.6180386091485351
A080 Base,mci_spectrum_vs_ad,logistic,roi_r1_c1_brain_p10_slice_std,0.5687232291599823,0.5687232291599823
A080 Base,mci_spectrum_vs_ad,logistic,roi_r1_c1_wm_local_var_slice_std,-0.5545218491439724,0.5545218491439724
A080 Base,mci_spectrum_vs_ad,logistic,roi_r1_c1_brain_std_slice_std,0.529521610296325,0.529521610296325
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c0_wm_median_slice_std,0.7784775362263257,0.7784775362263257
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r1_c2_wm_grad_mean_slice_std,-0.6951696456574341,0.6951696456574341
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c1_brain_std_slice_std,-0.6760571382155303,0.6760571382155303
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c2_wm_p90_slice_std,-0.662651732249438,0.662651732249438
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c2_wm_count_slice_mean,0.6584700031896342,0.6584700031896342
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c0_brain_median_slice_std,-0.6530102380209838,0.6530102380209838
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r1_c0_brain_p10_slice_mean,0.6223023023114553,0.6223023023114553
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c1_brain_mean_slice_std,0.5880734313620096,0.5880734313620096
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r1_c2_brain_median_slice_std,-0.5489449447603907,0.5489449447603907
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c1_wm_grad_mean_slice_mean,0.5164288602461968,0.5164288602461968
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c1_brain_grad_mean_slice_std,-0.5116885272848553,0.5116885272848553
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r1_c2_wm_median_slice_std,-0.5114379672947004,0.5114379672947004
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r1_c1_wm_count_slice_std,0.508575512717707,0.508575512717707
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c0_wm_mean_slice_std,0.4906449920154188,0.4906449920154188
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c2_wm_count_slice_std,0.4796119869352225,0.4796119869352225
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c0_wm_std_slice_mean,-0.4510005455208653,0.4510005455208653
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c0_brain_grad_mean_slice_std,-0.4439707446641106,0.4439707446641106
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r1_c0_brain_std_slice_mean,-0.440726321666413,0.440726321666413
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c0_wm_count_slice_mean,0.4374583479495435,0.4374583479495435
A080 Base,mci_spectrum_vs_ad,linear_svm,roi_r0_c0_wm_local_var_slice_mean,0.42128636540791287,0.42128636540791287
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r1_c0_brain_p90_slice_std,-1.2765294879346603,1.2765294879346603
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r0_c0_wm_p90_slice_std,1.055804970455924,1.055804970455924
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r1_c1_wm_median_slice_std,-1.0078578005980676,1.0078578005980676
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r0_c0_brain_p90_slice_std,-0.9992435857590873,0.9992435857590873
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r1_c0_brain_p10_slice_std,0.9748058288649014,0.9748058288649014
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r1_c1_brain_grad_mean_slice_std,0.9542973409320766,0.9542973409320766
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r1_c2_wm_p10_slice_std,0.8945604546096269,0.8945604546096269
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r0_c0_wm_local_var_slice_mean,-0.8851196762782815,0.8851196762782815
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r1_c0_wm_std_slice_std,0.8407711528445825,0.8407711528445825
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r1_c0_brain_grad_mean_slice_std,0.8337911333093736,0.8337911333093736
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r0_c2_brain_p10_slice_mean,-0.8294495925428158,0.8294495925428158
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r1_c0_wm_local_var_slice_mean,-0.7775335264230765,0.7775335264230765
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r1_c0_brain_std_slice_std,-0.7671150220981682,0.7671150220981682
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r1_c2_brain_p10_slice_std,0.747757899849458,0.747757899849458
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r1_c2_wm_count_slice_mean,-0.6974365204603514,0.6974365204603514
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r0_c2_brain_median_slice_std,-0.6946912212749795,0.6946912212749795
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r1_c1_brain_local_var_slice_std,-0.6903166536305478,0.6903166536305478
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r0_c0_brain_p10_slice_mean,-0.6726356171694107,0.6726356171694107
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r0_c2_brain_p90_slice_std,-0.6601867376180913,0.6601867376180913
A080+DS Full,cn_vs_mci_spectrum,logistic,roi_r0_c2_wm_local_var_slice_mean,0.6480898518155755,0.6480898518155755
A080+DS Full,cn_vs_mci_spectrum,linear_svm,roi_r1_c2_wm_p10_slice_std,1.5695014327829269,1.5695014327829269
